Brand,Model,Engine(cc),Top Speed(kmph),Mileage(kmpl),Rating(out of 5),Review Count,Min Price,Max Price
Geliose,Hope,,25.0,,,,46999.0,46999.0
Ampere,Reo Li Plus,,25.0,,,,59900.0,59900.0
Amo Mobility,Feisty EV,,25.0,,,,62180.0,62180.0
Kawasaki,KLX230RS,233.0,77.0,14.0,,,521000.0,521000.0
Kawasaki,KX450,449.0,143.0,25.0,,,927999.9999999999,927999.9999999999
Flycon,T3,,60.0,,,,89999.0,114999.99999999999
Odysse Electric,Trot,,25.0,,,,99999.0,99999.0
Flycon,Empire,,25.0,,,,79900.0,79900.0
Ducati,Diavel V4,1158.0,299.0,18.2,,,2721000.0,2721000.0
BGauss,C12i,,60.0,,,,99990.0,130000.0
Okinawa,Okhi90,,90.0,,4.0,2,150000.0,150000.0
Shema,Tuff,,60.0,,,,79655.0,140000.0
Shema,Bold,,25.0,,,,82200.0,82200.0
River,Indie,,90.0,,4.6,10,143000.0,143000.0
Okaya EV,Freedum,,25.0,,,,49999.0,49999.0
ADMS,Maevel,,100.0,,,,97000.0,97000.0
QJ Motor,SRK 400,400.0,145.0,20.6,,,359000.0,369000.0
EMotorad,X1,,25.0,,,,24999.0,27999.0
QJ Motor,SRV 300,296.0,135.0,35.0,,,319000.0,319000.0
Birla,Quanto,,60.0,,,,69182.0,101000.0
Zelio,Eeva,,25.0,,,,54575.0,57475.0
BMW,K 1600 GTL,1649.0,200.0,16.9,,,3333000.0,3333000.0
Moto Morini,SEIEMMEZZO,649.0,175.0,22.0,,,499000.0,520000.0
Joy e-bike,Gen Next Nanu Plus,,55.0,,,,88000.0,88000.0
Odysse Electric,V2,,25.0,,,,77250.0,100000.0
Yezdi Motorcycles,Roadster,334.0,140.0,28.53,,,206000.0,213000.0
Indian,Springfield,1890.0,165.0,20.0,,,3272999.9999999995,3304999.9999999995
Ampere,Magnus EX,,50.0,,,,67999.0,67999.0
Tunwal,Sport 63,,25.0,,5.0,1,49990.0,49990.0
Rowwet,Rame,,55.0,,,,114999.99999999999,114999.99999999999
Tunwal,Mini Lithino,,25.0,,,,54990.0,54990.0
Indian,Super Chief Limited,1890.0,185.0,14.0,,,2433000.0,2435000.0
White Carbon Motors,O3,,25.0,,,,55900.0,55900.0
PURE EV,eTryst 350,,94.0,,,,130000.0,130000.0
Komaki,SE,,60.0,,,,59999.0,118000.0
EeVe,Ahava,,25.0,,,,62499.0,62499.0
Toutche Electric,Heileo H200,,25.0,,,,46990.0,66990.0
Toutche Electric,Heileo M200,,25.0,,,,62990.0,66990.0
Crayon Motors,Envy,,25.0,,,,58307.0,71575.0
YObykes,Yo Drift DX,,25.0,,,,65000.0,70000.0
Gemopai,Ryder,,25.0,,,,70850.0,70850.0
Harley-Davidson,Road Glide,1868.0,177.0,16.3,,,4179000.0,4179000.0
Joy e-bike,Beast,,90.0,,,,242000.0,242000.0
Benelli,Leoncino 500,500.0,170.0,23.0,,,499000.0,499000.0
Indian,Springfield Dark Horse,1890.0,115.0,20.0,,,2956000.0,3029000.0
CFMoto,650MT,649.0,170.0,20.0,,,529000.0,529000.0
Triumph,Bonneville T100,900.0,185.0,24.39,,,969000.0,1028999.9999999999
Joy e-bike,Thunderbolt,,90.0,,,,233000.0,233000.0
Ducati,Multistrada V2,937.0,182.0,16.9,,,1636000.0,1898999.9999999998
Husqvarna,Vitpilen 250,249.07,150.0,31.0,,,224000.00000000003,224000.00000000003
EMotorad,X3,,25.0,,,,34999.0,34999.0
Amo Mobility,Inspirer,,25.0,,,,53951.0,86626.0
Polarity Smart,Executive,,80.0,,,,38000.0,105000.0
Kawasaki,Ninja ZX-6R,636.0,250.0,23.6,3.0,1,1153000.0,1153000.0
Oben,Rorr EZ,,95.0,,4.5,4,89999.0,120000.0
HCD India,NPS Cargo,,25.0,,,,80850.0,101000.0
Royal Enfield,Classic 650,647.95,157.0,21.45,5.0,2,337000.0,350000.0
Yezdi Motorcycles,Adventure,334.0,140.0,33.07,,,210000.0,220000.00000000003
Suzuki,GSX-8R,776.0,130.0,25.0,,,925000.0,925000.0
Ampere,Reo,,25.0,,,,49900.0,59900.0
TVS,Apache RTR 200 4V [2025],197.75,127.0,41.9,,,154000.0,154000.0
Bajaj,Chetak,,73.0,,5.0,1,99990.0,146000.0
Yezdi Motorcycles,Adventure,334.0,,,,,215000.0,227000.0
Sokudo,Dhansu,,50.0,,,,59889.0,59889.0
Numeros,Diplos i-pro,,63.0,,,,153000.0,153000.0
Oben,Rorr,,100.0,,,,120000.0,120000.0
Flycon,Grove,,25.0,,,,74629.0,80957.0
Lectrix,SX25,,25.0,,,,54999.0,67999.0
Indian,FTR,,200.0,,,,1938000.0,2203000.0
ADMS,EVA,,100.0,,,,135000.0,135000.0
Kawasaki,KX112,112.0,80.0,24.18,,,488000.0,488000.0
Kawasaki,KX65,64.0,51.0,30.0,,,312000.0,312000.0
Ducati,DesertX,937.0,209.0,17.8,4.0,1,1832999.9999999998,2371000.0
PURE EV,EcoDryft,,75.0,,,,120000.0,130000.0
Amo Mobility,Jaunty Pro,,25.0,,,,69256.0,69256.0
Okaya EV,Faast F2F,,50.0,,,,79999.0,79999.0
Jitendra,JMT 1000HS,,52.0,,,,97224.0,97224.0
QJ Motor,SRC 250,249.0,135.0,50.0,,,149000.0,149000.0
BMW,K 1600 Bagger,1649.0,200.0,16.94,,,2990000.0,2990000.0
Zontes,350T,348.0,140.0,23.0,5.0,1,299000.0,325000.0
Birla,E-Smart,,60.0,,,,71780.0,104000.0
Birla,DMS,,120.0,,5.0,1,163000.0,231000.0
Birla,V6,,100.0,,,,160000.0,227999.99999999997
Royal Enfield,Scram 411,411.0,140.0,38.23,5.0,1,206000.0,212000.0
Hero,Destini Prime,124.6,85.0,56.0,4.3,3,74199.0,74199.0
BattRE Electric Mobility,Storie,,65.0,,,,114999.99999999999,114999.99999999999
Raftaar,Bumblebee,,40.0,,,,88000.0,88000.0
Hero Lectro,F6i,,25.0,,,,57999.0,57999.0
Hero Lectro,WINN-X,,25.0,,,,49999.0,49999.0
Stella Automobili,Buzz,,55.0,,,,95000.0,95000.0
Hero Lectro,C5X,,25.0,,,,41999.0,41999.0
Harley-Davidson,Sportster S,1252.0,230.0,19.6,5.0,1,1648999.9999999998,1648999.9999999998
Moto Guzzi,V85 TT,853.0,165.0,20.4,,,1540000.0,1540000.0
Komaki,XGT X5,,62.0,,,,101000.0,101000.0
Hero Lectro,H3,,25.0,,,,27999.0,30999.0
Rowwet,Eleq,,65.0,,,,115999.99999999999,115999.99999999999
Komaki,XGT CAT 2.0,,63.0,,,,74999.0,114999.99999999999
Tunwal,Storm ZX Advance 1,,25.0,,,,114999.99999999999,114999.99999999999
Evolet,Dhanno,,25.0,,,,76999.0,76999.0
Ducati,SuperSport 950,937.0,299.0,17.0,,,1605999.9999999998,1911000.0
SVITCH,MXE,,25.0,,,,59999.0,59999.0
Kabira Mobility,Kabira Hermes 75,,85.0,,,,90825.0,90825.0
Fidato Evtech,Easy Go,,25.0,,,,86315.0,86315.0
Deltic,Legion,,25.0,,,,69490.0,95990.0
Felidae Electric,Maven,,25.0,,,,30000.0,30000.0
Triumph,Speed Triple 1200,1160.0,230.0,17.8,,,1795000.0,1795000.0
Vespa,SXL 150,149.5,90.0,45.0,,,149000.0,154000.0
Komaki,TN-95,,85.0,,,,119000.0,140000.0
Benling India,Aura,,65.0,,,,122000.0,122000.0
Lohia,Oma Star Li,,25.0,,,,51750.0,51750.0
Tunwal,Storm ZX,,25.0,,,,90000.0,90000.0
Hero Electric,Photon,,45.0,,,,111000.00000000001,111000.00000000001
Avera,Retrosa,,90.0,,,,88900.0,128000.0
Benling India,Kriti,,25.0,,,,64151.0,64151.0
Ujaas Energy,eGo Li,,25.0,,,,53880.0,53880.0
SUPER ECO,T1,,55.0,,,,56772.0,56772.0
Crayon Motors,Crayon Zeez,,25.0,,4.0,1,48000.0,58000.0
Ujaas Energy,Ujaas eSpa Li,,45.0,,,,54880.0,54880.0
Harley-Davidson,Heritage Classic,1868.0,177.0,18.1,,,2719000.0,2719000.0
Vespa,ZX 125,124.45,90.0,45.0,,,118000.0,118000.0
Kawasaki,KLX 110RL,112.0,50.0,60.0,,,312000.0,312000.0
YUKIE,Shiga,,25.0,,,,51115.0,51115.0
Triumph,Tiger 850 Sport,888.0,160.0,19.0,,,1195000.0,1195000.0
Kawasaki,KLX 140R F,144.0,70.0,60.0,,,411000.00000000006,411000.00000000006
Bajaj,Pulsar N125,124.58,100.0,58.0,4.0,6,94707.0,98707.0
BMW,R 1250 RT,1254.0,200.0,21.0,,,2495000.0,2495000.0
Ola Electric,Roadster X+,,125.0,,4.0,1,114999.99999999999,185000.0
Ducati,Panigale V4,1103.0,299.0,15.38,,,2999000.0,3650000.0
Keeway,K300 SF,292.4,160.0,40.0,4.0,1,169000.0,169000.0
BMW,R 1300 GS Adventure,1300.0,200.0,21.0,,,2295000.0,2625000.0
Lectrix,NDuro,,65.0,,4.5,2,94999.0,99999.0
Hero,Xtreme 250R,249.03,130.0,37.0,4.0,2,180000.0,180000.0
VLF,Tennis,,65.0,,5.0,1,130000.0,130000.0
Honda,Activa E,,80.0,,4.0,3,117000.0,152000.0
Triumph,Trident 660,660.0,212.0,17.47,,,811999.9999999999,811999.9999999999
Revolt Motors,RV BlazeX,,85.0,,4.0,1,120000.0,120000.0
Hero,XPulse 210,210.0,,40.0,4.6,8,176000.0,186000.0
Joy e-bike,Wolf Plus,,55.0,,,,115999.99999999999,115999.99999999999
Zelio,Legender,,25.0,,,,65000.0,79000.0
KTM,890 Duke R,889.0,250.0,21.0,,,1450000.0,1450000.0
Brixton,Crossfire 500 X,500.0,160.0,25.0,,,474000.0,474000.0
BMW,F900 GS Adventure,895.0,200.0,22.0,,,1475000.0,1475000.0
Bajaj,Freedom,125.0,93.4,65.0,4.0,52,90272.0,110000.00000000001
Jawa,350,334.0,125.0,30.0,,,199000.0,229000.0
Ather Energy,450 Apex,,100.0,,4.0,1,190000.0,190000.0
Ampere,Nexus,,93.0,,,,114999.99999999999,125000.0
GT Force,One Plus Pro,,70.0,,,,76555.0,76555.0
Okinawa,Dual 100,,60.0,,3.0,1,119000.0,119000.0
GT Force,RYD Plus,,25.0,,,,68999.0,68999.0
Kawasaki,Z650,649.0,212.0,19.02,4.0,1,665000.0,665000.0
Harley-Davidson,Nightster,975.0,180.0,19.6,4.0,2,1339000.0,1409000.0
Okaya EV,Motofaast,,70.0,,,,139000.0,139000.0
Tunwal,Storm Advance 2,,25.0,,,,135000.0,135000.0
Flycon,Bright,,25.0,,,,80000.0,80000.0
Amo Mobility,Brisk,,25.0,,,,62913.0,62913.0
Suzuki,Hayabusa,1340.0,300.0,18.0,,,1689999.9999999998,1689999.9999999998
Zelio,Little Gracy,,25.0,,,,49500.0,58000.0
Hero,Xoom 125,124.6,101.0,50.5,4.2,5,86900.0,92900.0
Ola Electric,S1 Pro 3 Gen,,141.0,,4.5,2,114999.99999999999,175000.0
Vespa,S 125,124.45,86.0,45.0,,,136000.0,196000.0
Suzuki,Gixxer SF 250 Flex Fuel,249.0,150.0,35.0,,,217000.0,217000.0
Honda,NX200,184.4,136.0,35.0,,,168000.0,168000.0
KTM,1390 Super Duke R,1350.0,270.0,16.94,4.0,2,2296000.0,2296000.0
Royal Enfield,Bear 650,648.0,165.0,30.0,4.0,1,339000.0,359000.0
Indian,Roadmaster Elite,1811.0,200.0,15.0,,,7181999.999999999,7181999.999999999
Brixton,Crossfire 500 XC,500.0,160.0,25.0,,,519000.00000000006,519000.00000000006
Ola Electric,Gig,,25.0,,,,39999.0,49999.0
Lectrix,LXS 3.0,,54.0,,,,96990.0,96990.0
Ducati,Hypermotard 698 Mono,659.0,220.0,20.8,,,1650000.0,1650000.0
White Carbon Motors,GT5,,50.0,,,,125000.0,125000.0
Kawasaki,Ninja ZX-4RR,399.0,200.0,24.18,,,942000.0,942000.0
Zelo,Zaeden Plus,,55.0,,,,88900.0,88900.0
Aftek Motors,Eone,,25.0,,,,87000.0,87000.0
Hero Lectro,Muv-E,,25.0,,,,61999.0,61999.0
Seeka,SFlash250,,55.0,,,,71911.0,71911.0
Seeka,SBolt,,85.0,,,,169000.0,169000.0
Sokudo,Acute,,65.0,,,,89889.0,105000.0
Maruthisan,MS 3.0,,60.0,,,,149000.0,158000.0
Shema,Hobby,,25.0,,,,82600.0,82600.0
Jitendra,JMT 1000HS 26,,52.0,,,,89000.0,89000.0
Indian,Scout Rogue,,159.1,,,,1728000.0,1741000.0
Enigma,Ambier N8,,60.0,,,,95000.0,105000.0
Lectrix,LXS G 2.0,,55.0,,,,99999.0,99999.0
Ampere,Primus,,77.0,,,,120000.0,120000.0
Fujiyama,Spectra Pro,,25.0,,,,54384.0,79975.0
Maruthisan,Dream+,,75.0,,,,163000.0,163000.0
Hero,Xoom,110.9,87.0,53.4,,,72284.0,82617.0
Harley-Davidson,Pan America 1250,1252.0,200.0,18.1,,,2464000.0,2464000.0
Joy e-bike,Mihos,,65.0,,,,117000.0,117000.0
Hero Electric,Atria,,25.0,,5.0,1,77690.0,77690.0
Evtric,Ride,,25.0,,,,94733.0,98100.0
Raftaar,Cruzer R1,,45.0,,,,84500.0,84500.0
iVOOMi Energy,S1,,58.0,,,,54999.0,84999.0
EMotorad,Doodle,,25.0,,,,49000.0,52999.0
Zelio,Gracy i,,25.0,,,,56825.0,82273.0
Birla,Ambition,,60.0,,,,73817.0,108000.0
Birla,Electro,,60.0,,,,76109.0,110000.00000000001
Birla,DMG,,100.0,,,,237000.0,305000.0
Birla,JF,,100.0,,,,163000.0,231000.0
QJ Motor,SRC 500,480.0,145.0,30.0,,,199000.0,199000.0
Indian,Challenger Dark Horse,1768.0,130.0,18.0,,,3697000.0,3707000.0
Indian,Chieftain Dark Horse,1890.0,115.0,13.54,,,3200000.0,3386999.9999999995
Joy e-bike,Wolf,,46.0,,,,75000.0,84000.0
Kawasaki,Z650RS,650.0,201.0,23.0,,,699000.0,699000.0
Joy e-bike,Glob,,25.0,,,,70000.0,70000.0
Indian,Chief Bobber Dark Horse,1890.0,115.0,20.0,,,2282000.0,2400000.0
Komaki,XGT X4,,45.0,,,,102000.0,124000.0
Tork Motors,Kratos,,105.0,,,,150000.0,150000.0
Komaki,XGT Classic,,25.0,,5.0,1,109000.00000000001,109000.00000000001
Warivo Motors,Nexa,,25.0,,,,58300.0,74300.0
Tunwal,Lithino Li,,25.0,,,,74990.0,74990.0
Indian,Chief Dark Horse,1890.0,115.0,20.0,,,2213000.0,2225000.0
Earth Energy EV,Evolve Z,,95.0,,,,130000.0,130000.0
CFMoto,650GT,649.3,195.0,20.0,,,559000.0,559000.0
SVITCH,XE,,25.0,,,,77999.0,77999.0
EMotorad,T-Rex-Air,,25.0,,,,34999.0,34999.0
Deltic,Drixx,,25.0,,,,64990.0,91990.0
Vespa,VXL 125,124.0,90.0,45.0,,,131000.0,133000.0
Amo Mobility,Jaunty,,25.0,,,,62964.0,90064.0
Essel Energy,GET 1,,25.0,,,,37500.0,41500.0
Evolet,Derby,,25.0,,,,74999.0,74999.0
EeVe,Wind,,25.0,,,,59999.0,59999.0
Okinawa,Ridge,,45.0,,,,70096.0,114999.99999999999
Li-ions Elektrik Solutions,Li-ions Spock Electric Scooter,,45.0,,,,65000.0,65000.0
Komaki,X2 Vogue,,25.0,,,,62311.0,88500.0
Raftaar,Electrica,,25.0,,,,48540.0,70900.0
Evolet,Pony,,25.0,,,,39499.0,49499.0
Avon,E Mate 306,,24.0,,4.0,1,45000.0,45000.0
Polarity Smart,Polarity Smart Sport,,100.0,,,,40000.0,110000.00000000001
EeVe,Soul,,55.0,,,,120000.0,120000.0
Fujiyama,Spectra,,25.0,,,,51528.0,77119.0
KTM,250 SX-F,249.9,136.0,,,,958000.0,958000.0
Atumobile,Atum Version 1.0,40.0,40.0,,,,61500.0,61500.0
Komaki,Ranger,,80.0,,5.0,1,185000.0,185000.0
Royal Enfield,Guerrilla 450,452.0,140.0,29.5,5.0,1,239000.0,254000.0
TVS,Apache RR 310,312.2,215.0,34.0,4.0,1,275000.0,300000.0
Hero,HF 100,97.2,85.0,70.0,5.0,1,60118.0,60118.0
Honda,CB750 Hornet,750.0,205.0,10.5,,,860000.0,860000.0
Suzuki,Access 125,124.0,90.0,45.0,4.1,31,83800.0,102000.0
Ultraviolette,Shockwave,,120.0,,5.0,1,150000.0,150000.0
Aprilia,Tuono 457,457.0,,25.5,4.5,4,395000.0,395000.0
Simple Energy,One,,105.0,,4.7,3,166000.0,166000.0
Ola Electric,S1 X 3 Gen,,125.0,,5.0,3,67000.0,105000.0
Honda,X-ADV,745.0,168.0,27.8,,,1190000.0,1190000.0
Hero,Destini 125,124.6,85.0,59.0,5.0,1,80450.0,91700.0
Jawa,42 FJ,334.0,135.0,30.0,4.7,3,199000.0,220000.00000000003
Bajaj,Pulsar RS200,199.5,140.8,35.0,4.5,2,184000.0,184000.0
Brixton,Cromwell 1200 X,1200.0,198.0,21.7,,,910000.0,910000.0
KTM,450 SX-F,449.9,197.0,15.33,,,1025000.0,1025000.0
Ola Electric,Roadster,,194.0,,4.1,33,105000.0,140000.0
Ola Electric,Roadster Pro,,194.0,,,,200000.0,250000.0
Zelio,Gracy Plus,,50.0,,,,60073.0,83073.0
Zelo,Zoop,,70.0,,,,45900.0,86900.0
GT Force,Texa,,75.0,,,,120000.0,120000.0
Okaya EV,Ferrato Disruptor,,95.0,,5.0,1,160000.0,160000.0
YUKIE,Yuvee,,25.0,,,,44385.0,44385.0
GT Force,Vegas,,25.0,,,,57999.0,57999.0
Hero,Mavrick 440,440.0,150.0,30.0,4.6,7,199000.0,224000.00000000003
Revolt Motors,RV400 BRZ,,85.0,,4.5,2,120000.0,120000.0
Ampere,Magnus LT,,45.0,,,,79900.0,79900.0
Seeka,SSeagun,,85.0,,4.0,1,152000.0,152000.0
Lectrix,LXS 2.0,,55.0,,,,84999.0,84999.0
Seeka,Vatsal250,,55.0,,,,72910.0,72910.0
Yamaha,R3,321.0,170.0,25.0,4.0,1,360000.0,360000.0
Husqvarna,Svartpilen 401,398.63,160.0,29.0,,,293000.0,293000.0
Kinetic Green,Zulu,,60.0,,,,79990.0,79990.0
NIJ Automotive,Accelero R14,,40.0,,4.5,2,49731.0,73326.0
