Brand,Model,Engine(cc),Top Speed(kmph),Mileage(kmpl),Rating(out of 5),Review Count,Min Price,Max Price
Aprilia,Tuareg 660,659.0,198.0,20.0,5.0,1,1885000.0000000002,1916000.0
Ampere,Zeal EX,,55.0,,,,86690.0,86690.0
Aftek Motors,Etwo,,25.0,,,,83000.0,83000.0
EMotorad,Legend 07,,25.0,,,,29999.0,29999.0
Seeka,Smak,,57.0,,,,99911.0,119000.0
Honda,CB350,348.36,115.0,42.17,4.5,2,200000.0,218000.00000000003
Orxa Energies,Mantis,,135.0,,,,360000.0,360000.0
Yamaha,MT-03,321.0,170.0,26.31,3.0,1,350000.0,350000.0
NIJ Automotive,Accelero X-Pro,,80.0,,,,58100.0,110000.00000000001
Flycon,Empire +,,60.0,,,,89999.0,133000.0
Kawasaki,Eliminator,451.0,160.0,30.0,,,562000.0,562000.0
Jitendra,Primo,,52.0,,,,79999.0,122000.0
BMW,M 1000 R,999.0,280.0,15.6,,,3300000.0,3800000.0
Lectrix,LXS,,50.0,,,,54999.0,54999.0
Aftek Motors,Elmo,,75.0,,,,140000.0,140000.0
Maruthisan,Beat,,75.0,,,,170000.0,170000.0
ADMS,Mantra,,60.0,,4.0,1,98000.0,98000.0
Bajaj,Avenger 220 Street,220.0,130.0,40.0,,,143000.0,143000.0
Kinetic Green,Flex,,72.0,,,,110000.00000000001,110000.00000000001
Enigma,Crink V1,,60.0,,,,96835.0,96835.0
Enigma,GT 450 Pro,,60.0,,,,86902.0,86902.0
ADMS,TTX,,80.0,,,,114999.99999999999,114999.99999999999
ADMS,GTR,,110.0,,,,79800.0,79800.0
Matter,Aera,,25.0,,,,174000.0,184000.0
BMW,K 1600 Grand America,1649.0,162.0,16.9,,,3300000.0,3300000.0
Kinetic Green,Zing,,45.0,,4.0,1,67990.0,75990.0
Okaya EV,Faast,,65.0,,,,109000.00000000001,110000.00000000001
Birla,Spark,,60.0,,,,69182.0,101000.0
EMotorad,X2,,25.0,,,,27999.0,27999.0
Hop Electric,OXO,,95.0,,,,128000.0,161000.0
Komaki,LY,,60.0,,,,78000.0,107000.0
Indian,Scout Bobber,1133.0,124.0,25.0,,,1717000.0000000002,1737000.0
Komaki,DT 3000,,80.0,,,,112000.00000000001,112000.00000000001
Hayasa,Ira,,25.0,,,,76750.0,76750.0
Tunwal,TZ 3.3,,90.0,,,,114999.99999999999,114999.99999999999
CFMoto,650NK,649.3,180.0,20.0,,,429000.0,429000.0
Fidato Evtech,Cutie,,25.0,,,,54600.0,54600.0
Fidato Evtech,Loder,,25.0,,,,83490.0,83490.0
Rowwet,Vegatron,,65.0,,,,125000.0,125000.0
Tunwal,Storm ZX,,50.0,,,,90000.0,90000.0
Kawasaki,Z H2,998.0,280.0,12.0,,,2348000.0,2776000.0
Ducati,Scrambler,803.0,299.0,19.0,4.5,2,997000.0000000001,1260000.0
EeVe,Xeniaa,,25.0,,,,79999.0,86999.0
Rowwet,Trono,,100.0,,,,181000.0,181000.0
Bajaj,Avenger Cruise 220,220.0,120.0,40.0,3.5,2,145000.0,145000.0
Toutche Electric,Heileo M100,,25.0,,,,46990.0,50990.0
SUPER ECO,S 2,,55.0,,,,105000.0,105000.0
YObykes,Yo Edge DX,,25.0,,,,62000.0,62000.0
Harley-Davidson,Fat Bob 114,1868.0,177.0,18.1,,,1675000.0,2149000.0
EMotorad,EMX,,25.0,,,,54999.0,54999.0
Triumph,Bonneville T120,1200.0,190.0,21.0,,,1109000.0,1169000.0
Triumph,Bonneville Bobber,1200.0,150.0,22.22,,,1205000.0,1265000.0
Kawasaki,KLX 450R,449.0,150.0,23.0,,,899000.0,899000.0
Vida,V2,,90.0,,,,74000.0,120000.0
Kinetic Green,e-Luna,,50.0,,4.5,2,69990.0,82490.0
KTM,390 Enduro R,398.7,,29.4,,,339000.0,339000.0
Ultraviolette,F77 Mach 2,,155.0,,4.0,2,299000.0,399000.0
Royal Enfield,Scram 440,,170.0,35.0,5.0,1,208000.0,215000.0
BMW,R 1300 GS,1300.0,225.0,21.0,4.0,1,2095000.0,2095000.0
Odysse Electric,Racer,,45.0,,,,76000.0,76000.0
Ola Electric,Roadster X,,118.0,,,,74999.0,95999.0
Suzuki,V-Strom 800 DE,776.0,205.0,22.7,,,1030000.0000000001,1030000.0000000001
Honda,QC1,,50.0,,4.0,1,90000.0,90000.0
Honda,Rebel 500,471.0,153.0,27.0,,,512000.0,512000.0
Honda,XL750 Transalp [2025],755.0,180.0,23.0,,,1100000.0,1100000.0
Triumph,Speed T4,398.15,135.0,30.0,,,199000.0,202999.99999999997
BMW,CE-02,,95.0,,4.0,1,449000.0,449000.0
BMW,F900 GS,895.0,200.0,22.0,,,1375000.0,1375000.0
